design,latency,nshares,area_ge,area_ge_wrng,solve_time,rnd_bits
skinny8,4,2,1008.6666666666666,1465.4244791666665,0.2696399688720703,12
skinny8,5,2,1138.3333333333333,1480.9016927083333,0.3873906135559082,9
skinny8,6,2,1253.3333333333333,1557.8385416666665,0.4221827983856201,8
skinny8,4,3,2095.333333333333,3465.606770833333,0.2671027183532715,36
skinny8,5,3,2363.3333333333335,3391.0384114583335,0.3518381118774414,27
skinny8,6,3,2560.333333333333,3473.848958333333,0.42308783531188965,24
skinny8,4,4,3572.666666666666,6313.213541666666,0.30549192428588867,72
skinny8,5,4,4028.0,6083.41015625,0.34868955612182617,54
skinny8,6,4,4323.333333333333,6150.364583333333,0.4205920696258545,48
skinny8,4,5,5440.666666666666,10008.244791666666,0.270660400390625,120
skinny8,5,5,6132.333333333333,9558.016927083332,0.3517177104949951,90
skinny8,6,5,6542.333333333333,9587.385416666666,0.4211246967315674,80
