design,latency,nshares,area_ge,area_ge_wrng,solve_time,rnd_bits
skinny8,4,2,974.6666666666666,1431.4244791666665,0.4646625518798828,12
skinny8,5,2,1115.6666666666667,1458.2350260416667,0.663489580154419,9
skinny8,6,2,1230.6666666666665,1535.1718749999998,0.8286981582641602,8
skinny8,4,3,2044.333333333333,3414.606770833333,0.4390699863433838,36
skinny8,5,3,2329.333333333333,3357.038411458333,0.6462688446044922,27
skinny8,6,3,2526.333333333333,3439.848958333333,0.8251800537109375,24
skinny8,4,4,3504.6666666666665,6245.213541666666,0.4475820064544678,72
skinny8,5,4,3982.6666666666665,6038.076822916666,0.6372518539428711,54
skinny8,6,4,4278.0,6105.03125,0.7906770706176758,48
skinny8,4,5,5355.666666666667,9923.244791666668,0.4313507080078125,120
skinny8,5,5,6075.666666666666,9501.350260416666,0.6283588409423828,90
skinny8,6,5,6485.666666666666,9530.71875,0.7848951816558838,80
