d_minus_1,latency,t_rng,t_area,t_dse,c_base_rng,c_base_area,c_base_solve,c_sep_rng,c_sep_area,c_sep_solve,c_opt_rng,c_opt_area,c_opt_solve,speedup_vs_opt
1,4,46,2897.272,0.281,68,6038.294270833333,1.0167114734649658,46,4988.23828125,1.6342432498931885,46,4528.904947916666,2.3538174629211426,8.376574601142856
1,5,37,3475.024,0.076,37,5216.003255208333,1.5284357070922852,37,4921.336588541666,3.992260456085205,37,4492.003255208333,5.824656248092651,76.64021379069278
1,6,34,3938.928,0.071,34,5356.147135416666,2.539849042892456,34,5061.48046875,8.690361261367798,34,4630.813802083333,17.434488534927368,245.55617654827282
1,8,,,,,,,34,5401.48046875,2.860891580581665,34,4812.147135416666,1612.260997056961,
1,10,,,,34,5718.813802083333,391.0068163871765,34,5424.147135416666,3602.950659275055,34,5004.813802083333,3604.2882595062256,
2,4,138,6823.964,0.099,138,13162.381510416668,1.128460168838501,138,12720.381510416668,1.6883952617645264,138,12038.714843750002,2.288945436477661,23.12066097452183
2,5,111,8150.24,0.095,111,12768.676432291668,1.616074800491333,111,12326.676432291668,4.097154378890991,111,11693.009765625002,5.862690448760986,61.71253103958933
2,6,102,9216.368,0.091,102,12881.108072916666,2.4113681316375732,102,12439.108072916668,8.588352680206299,102,11804.441406250002,14.796830415725708,162.60253204094184
3,4,276,12363.68,0.11,276,24534.763020833336,1.11627197265625,276,23945.429687499996,1.7607190608978271,276,23466.763020833332,2.2738070487976074,20.67097317088734
3,5,222,14744.912,0.119,222,23618.686197916668,1.5412640571594238,222,23029.35286458333,3.856330633163452,222,22586.686197916664,5.75648832321167,48.373851455560256
3,6,204,16660.112,0.111,204,23638.216145833336,2.3434526920318604,204,23048.882812499996,8.25218653678894,204,22640.882812499996,36.286847829818726,326.9085390073759
4,4,460,19522.272,0.13,460,39400.049479166664,1.1022584438323975,460,38663.38281249999,1.6455438137054443,460,37955.049479166664,2.2812957763671875,17.548429048978363
4,5,370,23264.892,0.133,370,37766.03255208333,1.6380372047424316,370,37029.36588541666,3.5204763412475586,370,36321.032552083336,5.799612522125244,43.60610918891161
4,6,340,26270.692,0.126,340,37627.471354166664,2.336470603942871,340,36890.8046875,6.888230562210083,340,36210.8046875,13.834280967712402,109.79588069613018
