design,area_ge
MSKand_hpc2o_swapped_tof,171.33333333333331
MSKand_hpc2_cross_swapped,164.99999999999997
MSKg16mul_dom,759.0
MSKand_hpc1,127.0
MSKand_hpc2o_tof,171.33333333333331
MSKg4mul_hpc3,352.0
MSKmux,7.0
MSKand_hpc3_cross,138.0
G16_mul,51.0
MSKand_hpc3_cross_er_swapped,121.0
MSKg4mul_dom,248.99999999999997
MSKand_hpc3_cross_er,121.0
MSKand_hpc3o_swapped,119.0
MSKand_hpc2_swapped,209.0
MSKand_hpc3o,119.0
MSKand_hpc2o_swapped,168.33333333333334
MSKreg,17.0
MSKand_hpc2,209.0
MSKand_dom,85.0
MSKand_ghpc,93.33333333333333
MSKg16mul_hpc1,926.9999999999999
MSKscanReg,10.333333333333334
MSKand_hpc2_cross,164.99999999999997
MSKinv,0.6666666666666666
MSKregEn,24.0
MSKand_hpc2o_cross,159.0
MSKand_ghpcll,86.66666666666666
MSKand_hpc3,164.99999999999997
MSKg4mul_hpc1,332.99999999999994
MSKxor,6.0
MSKand_hpc2o_cross_swapped,159.0
MSKxnor,6.666666666666667
MSKcst,0.0
MSKnor_hpc2,83.66666666666667
MSKg16mul_hpc3,1052.0
MSKand_hpc3o_swapped_tof,125.0
MSKand_sharewise,4.0
MSKand_hpc2o,168.33333333333334
G4_mul,11.0
MSKand_hpc3o_tof,125.0
MSKref_sni,41.99999999999999
