design,area_ge
MSKand_hpc2o_swapped_tof,561.0
MSKand_hpc2_cross_swapped,560.0
MSKg16mul_dom,2161.6666666666665
MSKand_hpc1,325.0
MSKand_hpc2o_tof,561.0
MSKg4mul_hpc3,1193.3333333333333
MSKmux,11.666666666666666
MSKand_hpc3_cross,433.3333333333333
G16_mul,51.0
MSKand_hpc3_cross_er_swapped,405.0
MSKg4mul_dom,718.3333333333334
MSKand_hpc3_cross_er,405.0
MSKand_hpc3o_swapped,401.66666666666663
MSKand_hpc2_swapped,633.3333333333333
MSKand_hpc3o,401.66666666666663
MSKand_hpc2o_swapped,566.0
MSKreg,28.333333333333332
MSKand_hpc2,633.3333333333333
MSKand_dom,248.33333333333331
MSKand_ghpc,93.33333333333333
MSKg16mul_hpc1,2468.333333333333
MSKscanReg,10.333333333333334
MSKand_hpc2_cross,560.0
MSKinv,0.6666666666666666
MSKregEn,40.0
MSKand_hpc2o_cross,540.0
MSKand_ghpcll,86.66666666666666
MSKand_hpc3,478.33333333333326
MSKg4mul_hpc1,871.6666666666666
MSKxor,10.0
MSKand_hpc2o_cross_swapped,540.0
MSKxnor,10.666666666666666
MSKcst,0.0
MSKnor_hpc2,83.66666666666667
MSKg16mul_hpc3,3546.666666666666
MSKand_hpc3o_swapped_tof,411.66666666666663
MSKand_sharewise,6.666666666666667
MSKand_hpc2o,566.0
G4_mul,11.0
MSKand_hpc3o_tof,411.66666666666663
MSKref_sni,76.66666666666666
