design,latency,nshares,area_ge,area_ge_wrng,solve_time,rnd_bits
skinny8,4,2,1008.6666666666666,1465.4244791666665,0.2632021903991699,12
skinny8,5,2,1138.3333333333333,1480.9016927083333,0.3511698246002197,9
skinny8,6,2,1253.3333333333333,1557.8385416666665,0.4664022922515869,8
skinny8,4,3,2095.333333333333,3465.606770833333,0.2922825813293457,36
skinny8,5,3,2363.3333333333335,3391.0384114583335,0.38167643547058105,27
skinny8,6,3,2560.333333333333,3473.848958333333,0.4115002155303955,24
skinny8,4,4,3572.666666666666,6313.213541666666,0.26555728912353516,72
skinny8,5,4,4028.0,6083.41015625,0.3708052635192871,54
skinny8,6,4,4323.333333333333,6150.364583333333,0.4238929748535156,48
skinny8,4,5,5440.666666666666,10008.244791666666,0.2605292797088623,120
skinny8,5,5,6132.333333333333,9558.016927083332,0.3370034694671631,90
skinny8,6,5,6542.333333333333,9587.385416666666,0.4101088047027588,80
